Combination	Num_Genes	Count	Frequency(%)
aggR/eae/espN/stx2/subA	5	0	0.0
aggR/eae/espN/stx2/ureD	5	0	0.0
aggR/eae/espN/subA/ureD	5	0	0.0
aggR/eae/espV/stx1/stx2	5	0	0.0
aggR/eae/espV/stx1/subA	5	0	0.0
aggR/eae/espV/stx1/ureD	5	0	0.0
aggR/eae/espV/stx2/subA	5	0	0.0
aggR/eae/espV/stx2/ureD	5	0	0.0
aggR/eae/espV/subA/ureD	5	0	0.0
aggR/eae/stx1/stx2/subA	5	0	0.0
aggR/eae/stx1/stx2/ureD	5	0	0.0
aggR/eae/stx1/subA/ureD	5	0	0.0
aggR/eae/stx2/subA/ureD	5	0	0.0
aggR/espK/espN/espV/stx1	5	0	0.0
aggR/espK/espN/espV/stx2	5	0	0.0
aggR/espK/espN/espV/subA	5	0	0.0
aggR/espK/espN/espV/ureD	5	0	0.0
aggR/espK/espN/stx1/stx2	5	0	0.0
aggR/espK/espN/stx1/subA	5	0	0.0
aggR/espK/espN/stx1/ureD	5	0	0.0
aggR/espK/espN/stx2/subA	5	0	0.0
aggR/espK/espN/stx2/ureD	5	0	0.0
aggR/espK/espN/subA/ureD	5	0	0.0
aggR/espK/espV/stx1/stx2	5	0	0.0
aggR/espK/espV/stx1/subA	5	0	0.0
aggR/espK/espV/stx1/ureD	5	0	0.0
aggR/espK/espV/stx2/subA	5	0	0.0
aggR/espK/espV/stx2/ureD	5	0	0.0
aggR/espK/espV/subA/ureD	5	0	0.0
aggR/espK/stx1/stx2/subA	5	0	0.0
aggR/espK/stx1/stx2/ureD	5	0	0.0
aggR/espK/stx1/subA/ureD	5	0	0.0
aggR/espK/stx2/subA/ureD	5	0	0.0
aggR/espN/espV/stx1/stx2	5	0	0.0
aggR/espN/espV/stx1/subA	5	0	0.0
aggR/espN/espV/stx1/ureD	5	0	0.0
aggR/espN/espV/stx2/subA	5	0	0.0
aggR/espN/espV/stx2/ureD	5	0	0.0
aggR/espN/espV/subA/ureD	5	0	0.0
aggR/espN/stx1/stx2/subA	5	0	0.0
aggR/espN/stx1/stx2/ureD	5	0	0.0
aggR/espN/stx1/subA/ureD	5	0	0.0
aggR/espN/stx2/subA/ureD	5	0	0.0
aggR/espV/stx1/stx2/subA	5	0	0.0
aggR/espV/stx1/stx2/ureD	5	0	0.0
aggR/espV/stx1/subA/ureD	5	0	0.0
aggR/espV/stx2/subA/ureD	5	0	0.0
aggR/stx1/stx2/subA/ureD	5	0	0.0
eae/espK/espN/espV/subA	5	0	0.0
eae/espK/espN/stx1/subA	5	0	0.0
eae/espK/espN/stx2/subA	5	0	0.0
eae/espK/espN/subA/ureD	5	0	0.0
eae/espK/espV/stx1/subA	5	0	0.0
eae/espK/espV/stx2/subA	5	0	0.0
eae/espK/espV/subA/ureD	5	0	0.0
eae/espK/stx1/stx2/subA	5	0	0.0
eae/espK/stx1/subA/ureD	5	0	0.0
eae/espK/stx2/subA/ureD	5	0	0.0
eae/espN/espV/stx1/subA	5	0	0.0
eae/espN/espV/stx2/subA	5	0	0.0
eae/espN/espV/subA/ureD	5	0	0.0
eae/espN/stx1/stx2/subA	5	0	0.0
eae/espN/stx1/subA/ureD	5	0	0.0
eae/espN/stx2/subA/ureD	5	0	0.0
eae/espV/stx1/stx2/subA	5	0	0.0
eae/espV/stx1/subA/ureD	5	0	0.0
